Java File Name,Lines,Comments,Lines of code,Updated comments,Updated LOC,% of comments
./java/org/assertj/core/error/ShouldHaveRootCauseInstance.java,47,3,44,25,22,53.19
./java/org/assertj/core/error/ShouldHaveSameTime.java,46,3,43,24,22,52.17
./java/org/assertj/core/error/ShouldHaveSuppressedException.java,43,3,40,21,22,48.84
./java/org/assertj/core/error/ShouldNotContainSubsequence.java,57,4,53,35,22,61.40
./java/org/assertj/core/error/uri/ShouldHaveFragment.java,34,1,33,12,22,35.29
./java/org/assertj/core/api/AtomicIntegerFieldUpdaterAssert.java,63,3,60,42,21,66.67
./java/org/assertj/core/api/AtomicLongFieldUpdaterAssert.java,63,3,60,42,21,66.67
./java/org/assertj/core/api/FactoryBasedNavigableIterableAssert.java,39,2,37,18,21,46.15
./java/org/assertj/core/api/MapSizeAssert.java,33,1,32,12,21,36.36
./java/org/assertj/core/data/TemporalUnitLessThanOffset.java,46,4,42,25,21,54.35
./java/org/assertj/core/data/TemporalUnitWithinOffset.java,46,4,42,25,21,54.35
./java/org/assertj/core/error/ShouldBeExactlyInstanceOf.java,46,3,43,25,21,54.35
./java/org/assertj/core/error/ShouldBeInstanceOfAny.java,47,3,44,26,21,55.32
./java/org/assertj/core/error/ShouldBeMarked.java,33,1,32,12,21,36.36
./java/org/assertj/core/error/ShouldBeSubsetOf.java,54,4,50,33,21,61.11
./java/org/assertj/core/error/ShouldContainOnlyDigits.java,50,4,46,29,21,58.00
./java/org/assertj/core/error/ShouldHaveCauseExactlyInstance.java,46,3,43,25,21,54.35
./java/org/assertj/core/error/ShouldHaveSameHashCode.java,33,1,32,12,21,36.36
./java/org/assertj/core/error/ShouldNotBeEqualWithinOffset.java,47,3,44,26,21,55.32
./java/org/assertj/core/error/ShouldNotStartWith.java,54,4,50,33,21,61.11
./java/org/assertj/core/util/diff/DeltaComparator.java,38,2,36,17,21,44.74
./java/org/assertj/core/api/AtomicReferenceFieldUpdaterAssert.java,64,3,61,44,20,68.75
./java/org/assertj/core/api/ClassAssert.java,41,2,39,21,20,51.22
./java/org/assertj/core/api/filter/NotInFilter.java,32,1,31,12,20,37.50
./java/org/assertj/core/api/Java6JUnitSoftAssertions.java,39,2,37,19,20,48.72
./java/org/assertj/core/api/JUnitSoftAssertions.java,50,2,48,30,20,60.00
./java/org/assertj/core/condition/DoesNotHave.java,46,3,43,26,20,56.52
./java/org/assertj/core/condition/Negative.java,38,2,36,18,20,47.37
./java/org/assertj/core/condition/Not.java,45,3,42,25,20,55.56
./java/org/assertj/core/configuration/ConfigurationProvider.java,44,3,41,24,20,54.55
./java/org/assertj/core/error/ShouldAccept.java,47,3,44,27,20,57.45
./java/org/assertj/core/error/ShouldBeAfterOrEqualsTo.java,55,4,51,35,20,63.64
